model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
GPT-4o,code_law,base,0.020 ± 0.081,0.953 ± 0.114,0.953 ± 0.114,1.0 ± 0.1,9.3 ± 2.4,4.5 ± 1.4
GPT-4o,code_law,cooperative,0.013 ± 0.073,0.987 ± 0.073,0.987 ± 0.073,1.0 ± 0.1,9.8 ± 2.0,4.9 ± 1.0
GPT-4o,code_law,selfish,0.540 ± 0.341,0.227 ± 0.272,0.227 ± 0.272,0.5 ± 0.3,0.4 ± 4.7,-0.6 ± 2.7
GPT-4o,code_nl,base,0.007 ± 0.037,0.967 ± 0.118,0.967 ± 0.118,1.0 ± 0.0,9.7 ± 2.0,4.7 ± 1.4
GPT-4o,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-4o,code_nl,selfish,0.967 ± 0.130,0.007 ± 0.037,0.007 ± 0.037,0.0 ± 0.1,-1.0 ± 3.7,-0.7 ± 1.9
GPT-4o,no_comm,base,0.053 ± 0.166,0.753 ± 0.392,0.753 ± 0.392,0.9 ± 0.2,8.0 ± 4.1,2.8 ± 3.6
GPT-4o,no_comm,cooperative,0.000 ± 0.000,0.980 ± 0.081,0.980 ± 0.081,1.0 ± 0.0,9.9 ± 1.7,4.8 ± 1.2
GPT-4o,no_comm,selfish,0.973 ± 0.114,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-1.1 ± 3.6,-0.7 ± 1.9
GPT-5.4,code_law,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4,code_law,selfish,0.007 ± 0.037,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,9.9 ± 1.7,4.8 ± 0.9
GPT-5.4,code_nl,base,0.013 ± 0.051,0.913 ± 0.194,0.913 ± 0.194,1.0 ± 0.1,9.3 ± 2.5,4.1 ± 2.3
GPT-5.4,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4,code_nl,selfish,0.967 ± 0.130,0.007 ± 0.037,0.007 ± 0.037,0.0 ± 0.1,-1.1 ± 3.6,-0.7 ± 1.8
GPT-5.4,no_comm,base,0.773 ± 0.347,0.053 ± 0.128,0.053 ± 0.128,0.2 ± 0.3,0.4 ± 3.8,-0.9 ± 2.0
GPT-5.4,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4,no_comm,selfish,0.980 ± 0.081,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-1.2 ± 3.5,-0.7 ± 1.9
GPT-5.4 Mini,code_law,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4 Mini,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4 Mini,code_law,selfish,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,4.9 ± 0.8
GPT-5.4 Mini,code_nl,base,0.007 ± 0.037,0.973 ± 0.069,0.973 ± 0.069,1.0 ± 0.0,9.7 ± 1.7,4.7 ± 1.1
GPT-5.4 Mini,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
GPT-5.4 Mini,code_nl,selfish,0.120 ± 0.186,0.640 ± 0.259,0.640 ± 0.259,0.9 ± 0.2,7.1 ± 3.1,2.0 ± 2.5
GPT-5.4 Mini,no_comm,base,0.620 ± 0.365,0.073 ± 0.170,0.073 ± 0.170,0.4 ± 0.4,1.0 ± 4.4,-1.4 ± 2.1
GPT-5.4 Mini,no_comm,cooperative,0.000 ± 0.000,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,10.0 ± 1.6,4.9 ± 0.9
GPT-5.4 Mini,no_comm,selfish,0.953 ± 0.187,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.2,-1.0 ± 3.6,-0.9 ± 2.2
Gemma 4 31B,code_law,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,code_law,selfish,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,code_nl,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,code_nl,selfish,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-1.3 ± 3.6,-0.6 ± 1.8
Gemma 4 31B,no_comm,base,0.940 ± 0.119,0.000 ± 0.000,0.000 ± 0.000,0.1 ± 0.1,-1.0 ± 3.6,-0.9 ± 1.9
Gemma 4 31B,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Gemma 4 31B,no_comm,selfish,0.993 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-1.2 ± 3.6,-0.6 ± 1.8
Grok 4.1 Fast,code_law,base,0.013 ± 0.051,0.980 ± 0.061,0.980 ± 0.061,1.0 ± 0.1,9.8 ± 1.8,4.9 ± 0.9
Grok 4.1 Fast,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Grok 4.1 Fast,code_law,selfish,0.013 ± 0.051,0.987 ± 0.051,0.987 ± 0.051,1.0 ± 0.1,9.9 ± 1.7,4.9 ± 0.8
Grok 4.1 Fast,code_nl,base,0.047 ± 0.086,0.753 ± 0.208,0.753 ± 0.208,1.0 ± 0.1,8.2 ± 2.1,2.8 ± 2.1
Grok 4.1 Fast,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Grok 4.1 Fast,code_nl,selfish,0.993 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-1.2 ± 3.6,-0.7 ± 1.8
Grok 4.1 Fast,no_comm,base,0.973 ± 0.069,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-1.1 ± 3.5,-0.7 ± 1.9
Grok 4.1 Fast,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,10.0 ± 1.6,5.0 ± 0.8
Grok 4.1 Fast,no_comm,selfish,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-1.3 ± 3.6,-0.6 ± 1.8
