model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
GPT-4o,code_law,base,0.747 ± 0.234,0.533 ± 0.358,0.533 ± 0.358,0.8 ± 0.3,-1.4 ± 2.9,-4.0 ± 5.3
GPT-4o,code_law,cooperative,0.980 ± 0.110,0.953 ± 0.136,0.953 ± 0.136,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,code_law,selfish,0.813 ± 0.174,0.153 ± 0.208,0.153 ± 0.208,0.3 ± 0.3,-4.0 ± 3.6,-3.4 ± 2.2
GPT-4o,code_nl,base,0.700 ± 0.296,0.467 ± 0.405,0.467 ± 0.405,0.8 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,code_nl,cooperative,0.913 ± 0.227,0.887 ± 0.276,0.887 ± 0.276,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,code_nl,selfish,0.967 ± 0.149,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,no_comm,base,0.627 ± 0.335,0.140 ± 0.284,0.140 ± 0.284,0.5 ± 0.4,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,no_comm,cooperative,0.920 ± 0.261,0.920 ± 0.261,0.920 ± 0.261,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-4o,no_comm,selfish,0.980 ± 0.081,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,code_law,base,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,code_law,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,code_law,selfish,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,-0.0 ± 0.0
GPT-5.4,code_nl,base,0.953 ± 0.114,0.907 ± 0.180,0.907 ± 0.180,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,code_nl,cooperative,0.987 ± 0.051,0.933 ± 0.177,0.933 ± 0.177,0.9 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,code_nl,selfish,0.780 ± 0.212,0.727 ± 0.270,0.727 ± 0.270,0.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,no_comm,base,0.727 ± 0.313,0.087 ± 0.194,0.087 ± 0.194,0.4 ± 0.4,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,no_comm,cooperative,0.993 ± 0.037,0.987 ± 0.073,0.987 ± 0.073,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4,no_comm,selfish,0.813 ± 0.216,0.040 ± 0.133,0.040 ± 0.133,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,code_law,base,0.973 ± 0.114,0.960 ± 0.122,0.960 ± 0.122,1.0 ± 0.1,0.0 ± 0.0,-0.0 ± 0.1
GPT-5.4 Mini,code_law,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,code_law,selfish,0.993 ± 0.037,0.960 ± 0.133,0.960 ± 0.133,1.0 ± 0.1,0.0 ± 0.0,-0.0 ± 0.1
GPT-5.4 Mini,code_nl,base,0.907 ± 0.146,0.767 ± 0.297,0.767 ± 0.297,0.9 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,code_nl,cooperative,0.973 ± 0.069,0.940 ± 0.140,0.940 ± 0.140,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,code_nl,selfish,0.847 ± 0.239,0.793 ± 0.304,0.793 ± 0.304,0.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,no_comm,base,0.767 ± 0.204,0.040 ± 0.122,0.040 ± 0.122,0.3 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,no_comm,cooperative,0.933 ± 0.142,0.927 ± 0.162,0.927 ± 0.162,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
GPT-5.4 Mini,no_comm,selfish,0.807 ± 0.238,0.027 ± 0.114,0.027 ± 0.114,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,code_law,base,0.993 ± 0.037,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,0.0 ± 0.0,-0.1 ± 0.4
Gemma 4 31B,code_law,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,code_law,selfish,0.993 ± 0.037,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,0.0 ± 0.0,-0.1 ± 0.4
Gemma 4 31B,code_nl,base,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,code_nl,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,code_nl,selfish,0.667 ± 0.284,0.560 ± 0.369,0.560 ± 0.369,0.9 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,no_comm,base,0.633 ± 0.247,0.133 ± 0.231,0.133 ± 0.231,0.5 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
Gemma 4 31B,no_comm,cooperative,0.993 ± 0.037,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
